P( Et | Xt ): 
P(d|g) = 0.000388198757764
P(e|g) = 0.000388198757764
P(f|g) = 0.0415372670807
P(g|g) = 0.800465838509
P(h|g) = 0.0306677018634
P(i|g) = 0.000388198757764
P(j|g) = 0.000388198757764
P(k|g) = 0.000388198757764
P(l|g) = 0.000388198757764
P(m|g) = 0.000388198757764
P(n|g) = 0.000388198757764
P(o|g) = 0.000388198757764
P(p|g) = 0.000388198757764
P(q|g) = 0.000388198757764
P(r|g) = 0.000388198757764
P(s|g) = 0.000388198757764
P(t|g) = 0.041149068323
P(u|g) = 0.000388198757764
P(v|g) = 0.036102484472
P(w|g) = 0.000388198757764
P(x|g) = 0.000388198757764
P(y|g) = 0.000388198757764
P(z|g) = 0.000388198757764
P(_|h) = 0.000158906721754
P(a|h) = 0.000158906721754
P(b|h) = 0.0436993484824
P(c|h) = 0.000158906721754
P(d|h) = 0.000158906721754
P(e|h) = 0.000158906721754
P(f|h) = 0.000158906721754
P(g|h) = 0.0398855871603
P(h|h) = 0.791037660893
P(i|h) = 0.000158906721754
P(j|h) = 0.0389321468298
P(k|h) = 0.000158906721754
P(l|h) = 0.000158906721754
P(m|h) = 0.000158906721754
P(n|h) = 0.0451295089782
P(o|h) = 0.000158906721754
P(p|h) = 0.000158906721754
P(q|h) = 0.000158906721754
P(r|h) = 0.000158906721754
P(s|h) = 0.000158906721754
P(t|h) = 0.000158906721754
P(u|h) = 0.000158906721754
P(v|h) = 0.000158906721754
P(w|h) = 0.000158906721754
P(x|h) = 0.000158906721754
P(y|h) = 0.0379787064993
P(z|h) = 0.000158906721754
P(_|i) = 9.78090766823e-05
P(a|i) = 9.78090766823e-05
P(b|i) = 9.78090766823e-05
P(c|i) = 9.78090766823e-05
P(d|i) = 9.78090766823e-05
P(e|i) = 9.78090766823e-05
P(f|i) = 9.78090766823e-05
P(g|i) = 9.78090766823e-05
P(h|i) = 9.78090766823e-05
P(i|i) = 0.799589201878
P(j|i) = 0.048024256651
P(k|i) = 0.0513497652582
P(l|i) = 9.78090766823e-05
P(m|i) = 9.78090766823e-05
P(n|i) = 9.78090766823e-05
P(o|i) = 0.0526212832551
P(p|i) = 9.78090766823e-05
P(q|i) = 9.78090766823e-05
P(r|i) = 9.78090766823e-05
P(s|i) = 9.78090766823e-05
P(t|i) = 9.78090766823e-05
P(u|i) = 0.0462636932707
P(v|i) = 9.78090766823e-05
P(w|i) = 9.78090766823e-05
P(x|i) = 9.78090766823e-05
P(y|i) = 9.78090766823e-05
P(z|i) = 9.78090766823e-05
P(_|j) = 0.00793650793651
P(a|j) = 0.00793650793651
P(b|j) = 0.00793650793651
P(c|j) = 0.00793650793651
P(d|j) = 0.00793650793651
P(e|j) = 0.00793650793651
P(f|j) = 0.00793650793651
P(g|j) = 0.00793650793651
P(h|j) = 0.0238095238095
P(i|j) = 0.00793650793651
